feature,coef_mean,coef_std
turn_progress,0.09971363,0.0015859614
technologies_gap,0.08540062,0.00442024
cities,0.08406732,0.00473379
votes,0.0831319,0.0027872352
religion_percentage,0.08293426,0.0025395122
population,0.08153356,0.0048462227
policies_gap,0.08014285,0.0023789944
minor_allies,0.07529654,0.0045822947
production_adj,0.07183627,0.0036431472
gold_adj,0.07094236,0.0031398647
faith_adj,0.070191324,0.006972082
science_adj,0.069592945,0.00276012
tourism_adj,0.06929131,0.0026399256
happiness_percentage,0.06698501,0.003625811
culture_adj,0.06586281,0.0013892605
food_adj,0.06517969,0.004429245
military_utilization,0.06506827,0.007865656
military_adj,0.05759071,0.0048350645
